Ref,Qty,Value,Footprint,Footprint Library,Symbol,Symbol Library,Datasheet,Description,MF_Name,MF_PN,S1_Name,S1_PN
C1,1,1uf,CAP-DISC-D7.5MM-P5MM,Wickerlib,CAP-CER-1UF-16V-X7R-RADIAL,wickerlib,https://product.tdk.com/info/en/documents/catalog/leadmlcc_conventional_fk_en.pdf,CAP CER 1UF 16V X7R RADIAL,TDK,FK28X7R1C105K,Digikey,445-8614-ND
D1 D2,2,3.6V,DIODE-DO-41,Wickerlib,DIODE-ZENER-3.6V-1W-BZX85C3V6-DO41,wickerlib,http://www.fairchildsemi.com/datasheets/BZ/BZX85C10.pdf,DIODE ZENER 3.6V 1W BZX85C3V6 DO41,Fairchild,BZX85C3V6,Digikey,BZX85C3V6-ND
J1,1,USB-MICRO,CONN-USB-MICRO-B-AMPHENOL-10118193-0001LF,Wickerlib,CONN-USB-MICRO-B-10118193,wickerlib,http://portal.fciconnect.com/Comergent//fci/drawing/10118193.pdf,USB MICRO-B RECEPTACLE 5PIN SMT R/A STUDS,Amphenol,10118193-0001LF,Digikey,609-4616-1-ND
J2,1,"TO MICROCONTROLLER",CONN-HEADER-STRAIGHT-P2.54MM-1x05,Wickerlib,HEADER-MALE-5POS-TH-1x05-P0.1IN,wickerlib,https://cdn.harwin.com/pdfs/60page140.pdf,HEADER MALE 5POS TH 1x05 0.1”,Harwin,M20-9992046,Digikey,952-1902-ND
R1,1,1.5K,RES-CARBONFILM-7MM,Wickerlib,RES-1.5K-5%-1/2W-TH,wickerlib,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ6GEYJ152V+7+WW,RES 1.5K OHM 1/2W 5% CF MINI,Stackpole,CFM12JT1K50,Digikey,S1.5KHCT-ND
R3 R2,2,66.5,RES-CARBONFILM-7MM,Wickerlib,RES-66.5-1%-1/4W-TH,wickerlib,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ6GEYJ152V+7+WW,RES 66.5 OHM 1/4W 1% AXIAL,Yageo,MFR-25FBF52-66R5,Digikey,66.5XBK-ND
SW1,1,RESET,SWITCH-OMRON-MOMENTARY-TH-B3F-10XX,Wickerlib,SWITCH-TACT-SPDT-B3F-1000,wickerlib,http://www.omron.com/ecb/products/pdf/en-b3f.pdf, SWITCH TACTILE SPST-NO 0.05A 24V ,Omron,B3F-1000,Digikey,SW400-ND
