Location,MPN/Seeed SKU,Quantity
C1,FK28X7R1C105K,1
D1 D2,BZX85C3V6,2
J1,10118193-0001LF,1
J2,M20-9992046,1
R1,CFM12JT1K50,1
R3 R2,MFR-25FBF52-66R5,2
SW1,B3F-1000,1
