Location,MPN/Seeed SKU,Quantity
B1,LP503035,1
C1 C2 C3,UMK316AB7475KL-T,3
J1,10118193-0001LF,1
J2,S2B-PH-K-S(LF)(SN,1
J3 J4,M20-7822046,2
LED1 LED2 LED3,LA L296-Q2R2-1-Z,3
R1,MCT06030Z0000ZP500,1
R2 R3 R4,ESR03EZPJ471,3
R5,NTCG103JF103FT1,1
R6,RNCP0603FTD2K00,1
R7,RMCF0603FG100K,1
U1,MCP73871T-2CCI/ML,1
