Refdes,Quantity,Description,Manufacturer,MPN
J1,1,HEADER MALE 20POS TH 2x10 0.1IN KEY,OnShore,302-S201
J2,1,HEADER MALE SHROUDED 10POS 2x5 0.1IN KEY JTAG,3M,30310-6002HB
J3,1,HEADER MALE 5POS TH 1x05 0.1IN,Harwin,M20-9992046
J4,1,HEADER MALE SHROUDED 10POS 2x5 0.27MM KEY,CNC Tech,3220-10-0100-00
