Ref,Qty,Description,MF,MF_PN,S1,S1_PN,Type
J1,1,HEADER MALE 20POS TH 2x10 0.1IN KEY,OnShore,302-S201,Digikey,ED10524-ND,
J2,1,HEADER MALE SHROUDED 10POS 2x5 0.1IN KEY JTAG,3M,30310-6002HB,Digikey,30310-6002HB-ND,
J3,1,HEADER MALE 5POS TH 1x05 0.1IN,Harwin,M20-9992046,Digikey,952-1902-ND,
J4,1,HEADER MALE SHROUDED 10POS 2x5 0.27MM KEY,CNC Tech,3220-10-0100-00,Digikey,1175-1627-ND,
