Ref,Qty,Description,Digikey PN
J2 J1,2,HEADER MALE 2POS TH 1x02 0.1”,952-2262-ND
LED1,1,LED RGB WS2812B W/DVR 4SMD,1528-1104-ND
R1,1,RES SMD 470 OHM 5% 1/4W 0603,RHM470DCT-ND
