Location,MPN/Seeed SKU,Quantity
C1 C4,CC0402KRX7R9BB103,2
C3 C2 C6 C5,CL05B104KO5NNNC,4
J1 J2 J4 J3,M20-9992046,4
JP1 JP2,969102-0000-DA,2
U1 U2,MPU-9250,2
