Ref,Qty,Value,Footprint,Footprint Library,Symbol,Symbol Library,Datasheet,Package,MF_Name,MF_PN,S1_Name,S1_PN,Description,Verified
C2 C3,2,22pF,RLC-0603-SMD,Wickerlib,CAP-CER-22PF-100V-C0G-NP0-0603,wickerlib,http://www.kemet.com/docfinder?Partnumber=C0603C220F1GACTU,0603,Kemet,C0805C220J5GACTU,Digikey,399-11145-1-ND,CAP CER 22pF 100V C0G NP0 0603,Not Verified
C5 C6 C1,3,100nF,RLC-0603-SMD,Wickerlib,CAP-CER-0.1UF-100V-X7R-0603,wickerlib,http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf,0603,Murata,GRM188R72A104KA35D,Digikey,490-3285-1-ND,CAP CER 0.1UF 100V X7R 0603,Not Verified
J1,1,FTDI,CONN-HEADER-STRAIGHT-P2.54MM-1x06,Wickerlib,HEADER-MALE-6POS-TH-1x06-P0.1IN,wickerlib,https://cdn.harwin.com/pdfs/60page140.pdf,Harwin,M20-9992046,Digikey,952-1902-ND,HEADER MALE 6POS TH 1x06 0.1”
J2,1,ISP-2560,CONN-HEADER-STRAIGHT-P2.54MM-2x03,Wickerlib,HEADER-MALE-6POS-TH-2x3-P0.1IN,wickerlib,http://cdn.harwin.com/pdfs/60page147.pdf,UNDEFINED,Harwin,M20-9720345,Digikey,952-1921-ND,HEADER MALE 6POS 2x3 0.1”,Not Verified
R1,1,10K,RLC-0805-SMD,Wickerlib,RES-10K-5%-1/8W-0805,wickerlib,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf,0805,Yageo,RC0805JR-0710KL,Digikey,311-10KARCT-ND,RES SMD 10K OHM 5% 1/8W 0805,Not Verified
S1,1,RESET,SWITCH-OMRON-MOMENTARY-SMD-B3U-1000P,Wickerlib,SWITCH-TACTILE-SPST-NO-0.05A-12V,wickerlib,http://www.omron.com/ecb/products/pdf/en-b3u.pdf,Omron,B3U-1000P,Digikey,SW1020CT-ND,SWITCH TACTILE SPST-NO 0.05A 12V
U1,1,ATMEGA328,TQFP-32-7x7MM-P0.8MM,Wickerlib,IC-MCU-ATMEGA328-TQFP32-CUSTOM1,wickerlib,http://www.atmel.com/images/Atmel-8271-8-bit-AVR-Microcontroller-ATmega48A-48PA-88A-88PA-168A-168PA-328-328P_datasheet_Complete.pdf,Atmel,ATMEGA328P-AU,Digikey,ATMEGA328P-AU-ND,IC MCU 8BIT 32KB FLASH 32TQFP
X1,1,"16MHz 18pF",CRYSTAL-CTS-4SMD,Wickerlib,CRYSTAL-16MHZ-18PF-40OHM-CTS-4SMD,wickerlib,http://www.ctscorp.com/wp-content/uploads/2015/11/008-0260-0.pdf,CRYSTAL-CTS-4SMD,CTS,406I35D16M00000,Digikey,CTX1206CT-ND,CRYSTAL 16MHz 18pF 40 OHM 4SMD,Not Verified
