Location,MPN/Seeed SKU,Quantity
C2 C3,C0805C220J5GACTU,2
C4,TMK107B7105KA-T,1
C5 C6 C1,GRM188R72A104KA35D,3
J1,M20-9992046,1
J2,M20-9720345,1
R1,RC0805JR-0710KL,1
S1,B3U-1000P,1
S2,EG1218,1
U1,ATMEGA328P-AU,1
X1,406I35D16M00000,1
