Location,MPN/Seeed SKU,Quantity
B1,LP503035,1
C1 C3 C4,GRM188R71A225KE15D,3
C2,CL10B475KQ8NQNC,1
J1,10118193-0001LF,1
J2,S2B-PH-K-S(LF)(SN,1
J3 J4,M20-9992046,2
LED1,HSMS-C191,1
R1,MCT06030Z0000ZP500,1
R2 R5 R6,RNCP0603FTD10K0,3
R3,NTCG164BH103JT1,1
R4,ERJ-3EKF6040V,1
S1,,1
S2,EG1218,1
U1,STNS01PUR,1
U2,AP7333-33SAG-7,1
