Location,MPN/Seeed SKU,Quantity
C1 C3,TMK325B7106KN-TR,2
C4 C5,C0805C220J5GACTU,2
C7 C8 C9 C2 C6 C10,GRM188R72A104KA35D,6
D1,SMAJ14A-13-F,1
D2 D3,SS12-E3/61T,2
F1,MF-MSMF110/24X-2,1
J1,OSTVN02A150,1
J2,M20-9992046,1
J3,M20-9720345,1
LED1,LA L296-Q2R2-1-Z,1
R1,RC1608F102CS,1
R2,RC0805JR-0710KL,1
S1,B3U-1000P,1
U1,NCP1117DT50G,1
U2,ATMEGA2560-16AU,1
X1,406I35D16M00000,1
