Location,MPN/Seeed SKU,Quantity
AN1,U.FL-R-SMT-1(01,1
BAT1,BK-916-TR,1
C3 C2 C1,CL10B105KP8NNNC,3
C4,GRM188R71H103KA01D,1
D1,BAS16WS-E3-08,1
J1,M20-9992046,1
LED1,LA L296-Q2R2-1-Z,1
R1,RNCP0603FTD10K0,1
R3 R2,ESR03EZPJ471,2
S1,B3U-1000P,1
U1,MIC5365-3.3YC5-TR,1
U2,FGPMMOPA6H,1
