Ref,Qty,Description,MF,MF PN,S1,S1_PN
C2 C3,2,CAP CER 0.1UF 100V X7R 0603,Murata,GRM188R72A104KA35D,Digikey,490-3285-1-ND
C4 C1,2,CAP CER 1UF 25V X7R 0603,Taiyo Yuden,TMK107B7105KA-T,Digikey,587-2984-1-ND
J1,1,HEADER MALE 6POS TH 1x06 0.1”,Harwin,M20-9992046,Digikey,952-1902-ND
J2,1,CONN MICRO SD CARD PUSH-PULL,Molex,0475710001,Digikey,WM9731CT-ND
U1,1,IC REG LDO 3.3V 0.15A SOT353,Microchip,MIC5365-3.3YC5-TR,Digikey,576-3193-1-ND
U2,1,IC VOLT-LEVEL TRANSLATOR TXB0104 SOIC14,TI,TXB0104DR,Digikey,296-21928-1-ND
