Location,MPN/Seeed SKU,Quantity
C2 C3,GRM188R72A104KA35D,2
C4 C1,TMK107B7105KA-T,2
J1,M20-9992046,1
J2,0475710001,1
U1,MIC5365-3.3YC5-TR,1
U2,TXB0104DR,1
