Location,MPN/Seeed SKU,Quantity
C1 C2 C5,TMK107B7105KA-T,3
C10 C11 C4 C7 C9,GRM188R72A104KA35D,5
C3,CL21B106KOQNNNE,1
C6 C8,C0603C220K4GACTU,2
D1 D3,CG0603MLC-05E,2
D2,SS12-E3/61T,1
J1,M20-9992046,1
J2,10118193-0001LF,1
J3 J4,M20-7822046,2
L1 L2 L3,MH2029-300Y,3
R1,RC1608F102CS,1
R2,RNCP0603FTD10K0,1
R3,RC0603JR-07330RL,1
S1,B3U-1000P,1
U1,BU33SD5WG-TR,1
U2,ATSAMD21G18A-AUT,1
X1,406I35D16M00000,1
